Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
124824.81,741.73,1213.85,-1392.34
125034.18,759.54,1213.85,-1407.17
125245.12,802.84,1231.66,-1407.17
125608.3,867.02,1274.96,-1407.17
125739.22,879.55,1339.14,-1407.17
125826.18,887.14,1351.67,-1407.17
126045.16,940.44,1359.26,-1407.17
126111.08,941.13,1412.56,-1407.17
126209.4,948.48,1413.25,-1407.17
126286.53,957.34,1420.6,-1407.17
126396.55,964.65,1429.46,-1407.17
126587.28,981.19,1436.77,-1407.17
126731.39,996.97,1453.31,-1407.17
126930.22,1031.38,1469.09,-1407.17
127152.17,1064.32,1503.5,-1407.17
127253.4,1078.53,1536.44,-1407.17
127329.16,1084.82,1550.65,-1407.17
127431.8,1097.72,1556.94,-1407.17
127532.99,1115.72,1569.84,-1407.17
127597.14,1126.43,1587.84,-1407.17
127655.77,1145.81,1598.55,-1407.17
127764.29,1179.89,1617.93,-1407.17
127851.08,1199.31,1652.01,-1407.17
128056.39,1161.65,1671.43,-1407.17
128156.53,1158.82,1671.43,-1444.83
128241.7,1150.89,1671.43,-1447.66
128503.12,1170.14,1671.43,-1455.59
128788.66,1188.51,1690.68,-1455.59
128926.03,1193.02,1709.05,-1455.59
129080.19,1155.62,1713.56,-1455.59
129287.62,1131.95,1713.56,-1492.99
129405.14,1141.01,1713.56,-1516.66
129622.9,1144.41,1722.62,-1516.66
129708.92,1135.76,1726.02,-1516.66
129801.39,1132.26,1726.02,-1525.31
129884.43,1126.57,1726.02,-1528.81
129969.15,1129.13,1726.02,-1534.5
130036.56,1133.77,1728.58,-1534.5
130119.95,1131.74,1733.22,-1534.5
130237.27,1137.92,1733.22,-1536.53
130339.88,1147.95,1739.4,-1536.53
130410.7,1143.08,1749.43,-1536.53
130492.83,1142.51,1749.43,-1541.4
130590.45,1135.97,1749.43,-1541.97
130666.33,1129.43,1749.43,-1548.51
130789.97,1135.11,1749.43,-1555.05
131167.31,1156.53,1755.11,-1555.05
131400.63,1170.51,1776.53,-1555.05
131590.54,1167.3,1790.51,-1555.05
131786.05,1190.95,1790.51,-1558.26
132008.59,1207.46,1814.16,-1558.26
132147.26,1207.17,1830.67,-1558.26
132419.76,1212.85,1830.67,-1558.55
132622.12,1225.49,1836.35,-1558.55
132719.68,1231.55,1848.99,-1558.55
132781.65,1232.82,1855.05,-1558.55
132827.25,1223.56,1856.32,-1558.55
133179.72,1156.9,1856.32,-1567.81
133486.93,1106.05,1856.32,-1634.47
133907.05,1057.34,1856.32,-1685.32
134112.41,1049.56,1856.32,-1734.03
134426.86,1053.85,1856.32,-1741.81
134553.47,1046.1,1860.61,-1741.81
134668.75,1062.12,1860.61,-1749.56
134771.66,1061.41,1876.63,-1749.56
134844.6,1055.4,1876.63,-1750.27
135010.72,1038.11,1876.63,-1756.28
135107.7,1032.63,1876.63,-1773.57
135304.9,1068.11,1876.63,-1779.05
135493.81,1084.44,1912.11,-1779.05
135575.28,1091.86,1928.44,-1779.05
135760.09,1098.67,1935.86,-1779.05
135962.33,1095.28,1942.67,-1779.05
136477.63,1088.27,1942.67,-1782.44
136929.16,1073.97,1942.67,-1789.45
137321.03,1022.77,1942.67,-1803.75
137463.45,961.46,1942.67,-1854.95
137656.49,947.65,1942.67,-1916.26
137958.7,927.44,1942.67,-1930.07
138150.47,934.85,1942.67,-1950.28
138281.99,935.9,1950.08,-1950.28
138625.76,810.94,1951.13,-1950.28
138818.86,753.13,1951.13,-2075.24
138935.66,743.67,1951.13,-2133.05
139028.3,735.86,1951.13,-2142.51
139133.58,755.41,1951.13,-2150.32
139253.91,792,1970.68,-2150.32
139455.85,852.19,2007.27,-2150.32
139651.12,860.61,2067.46,-2150.32
139752.26,833.19,2075.88,-2150.32
139909.35,816.68,2075.88,-2177.74
140114.13,858.85,2075.88,-2194.25
140226.39,878.82,2118.05,-2194.25
140364.59,893.81,2138.02,-2194.25
140481.43,893.96,2153.01,-2194.25
140620.11,886,2153.16,-2194.25
140853.1,852.12,2153.16,-2202.21
140955.87,858.63,2153.16,-2236.09
141041.75,864.16,2159.67,-2236.09
141225.8,824.79,2165.2,-2236.09
141484.29,735.33,2165.2,-2275.46
141604.12,723.92,2165.2,-2364.92
141735.4,737.61,2165.2,-2376.33
141828.67,737.99,2178.89,-2376.33
142120,680.28,2179.27,-2376.33
142277.21,663.28,2179.27,-2434.04
142352.98,645.4,2179.27,-2451.04
142474.91,640.19,2179.27,-2468.92
142618.66,640.87,2179.27,-2474.13
142723.78,654.14,2179.95,-2474.13
142841.79,671.25,2193.22,-2474.13
143049.59,688.62,2210.33,-2474.13
143350.24,703.66,2227.7,-2474.13
143454.03,706.48,2242.74,-2474.13
143993.27,697.1,2245.56,-2474.13
144202.01,683.65,2245.56,-2483.51
144369.53,688.37,2245.56,-2496.96
144542.27,681.12,2250.28,-2496.96
144626.36,680.41,2250.28,-2504.21
144831.73,688.09,2250.28,-2504.92
144957.55,718.4,2257.96,-2504.92
145068.73,744.19,2288.27,-2504.92
145177.14,758.96,2314.06,-2504.92
145386.51,770,2328.83,-2504.92
145631.24,748.57,2339.87,-2504.92
145699.22,742.92,2339.87,-2526.35
145866.42,776.49,2339.87,-2532
145980.09,765.95,2373.44,-2532
146144.44,722.1,2373.44,-2542.54
146305.69,711.64,2373.44,-2586.39
146535.66,758.31,2373.44,-2596.85
146751.83,739.06,2420.11,-2596.85
146935.38,740.2,2420.11,-2616.1
147114.07,802.46,2421.25,-2616.1
147191.52,822.01,2483.51,-2616.1
147406.13,841.96,2503.06,-2616.1
147606.59,840.34,2523.01,-2616.1
147806.91,873.45,2523.01,-2617.72
147899.57,909.32,2556.12,-2617.72
148051.13,936.28,2591.99,-2617.72
148234.77,937.57,2618.95,-2617.72
